ID,VERB,DEFINITION,EXAMPLE,ARG0,FLAG0,ARG1,FLAG1,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG2,FLAG2,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG3,FLAG3,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG4,FLAG4,"NOM, ACC, DAT, ABL, INS, LOC, GEN",,,,,,,,,,,,,,,
TUR10-0298870,girmek,"Bir şeyin yapımında, birleşiminde yer almak",,dahil olan kişi,pag,"dahil olunan iş, yapım",dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0181230,dalmak,Başka bir şeyle uğraşamayacak veya başka bir şeyi düşünemeyecek biçimde kendini bir şeye kaptırmak,Yemekten sonra yine tatlı tatlı memleket yârenliğine daldık kahvede.,dalan kişi,pag,dalınan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0184270,darıltmak,Darılmasına neden olmak,,darıltan kişi,pag,darılan kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0846520,yekinmek,"Davranmak, olduğu yerden fırlamak, ayağa kalkmak, kalkmak için hareket etmek, kımıldamak",,davranan kişi,pag,davrandığı eylem,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0162970,çıkarmak,"Gibi göstermek, bir davranış yüklemek",Onca tartışmadan sonra beni suçlu çıkardı.,davranış yükleyen kişi,pag,davranış yüklenilen kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0354750,ıslatmak,Dayak atmak veya ağır hakarette bulunmak,"Müfettiş, gazete sahibini iyice ıslattıktan sonra bastonunu, şapkasını aldı, küfrederek kapıdan çıktı.","dayak atan, hakaret eden kişi",pag,"dayak yiyen, hakaret edilen kişi",dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-1242460,dayanmak,Karşı durmak,Haydi biraz daha dayan,dayanan kişi,pag,dayanılan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0000360,abanmak,"Bir yere veya bir kimseye yaslanmak, dayanmak","Baba, 'ya Allah' nidası ile yerinden zorla, oğluna abanarak kalktı.","abanan kişi, şey",pag,"dayanılan şey, kişi",dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0188900,değmek,Karşılık olmak,"Evet, onun için her şeyi feda etmeye değer.",değen şey,pag,değdiği şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0188920,değmek,Herhangi bir nitelikte olmak,Babaannem özel bir kadındı. Anlatılmaya değer.,değen şey,pag,değdiği şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0188930,değmek,Eş değerde olmak,Bütün dünyaya değer gözlerin.,değen şey,pag,değdiği şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0187700,değerlemek,Değer belirtmek,,değer biçen kişi,pag,değer biçtiği şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0101520,biçmek,"Değer, paha, fiyat belirlemek",Bu sese fiyat biçemeyiz.,değer biçen kişi,pag,değeri biçilen şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0215320,dokunmak,"İlişkin, ilgili olmak; değinmek",Eğitim konusuna dokunan bir yazı.,değinen kişi,pag,"değinilen şey, konu",dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0596560,oynamak,Değişiklik göstermek,Bunların fiyatı iki bin ile üç bin lira arasında oynar.,değişiklik gösteren şey,pag,değiştiği durum,dir,"nom, ins",,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0181190,dalmak,Suyun içine bütün vücuduyla ve hızla girmek,"O çirkin, kaba kunduralarla sıcak günde serin denize dalmışım gibi rahatladım.","suya dalan kişi, dalgıç, dalış yapan kişi",pag,derin su kütlesi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0832440,yanmak,"Bir bir sıralamak, dile getirmek, dert dökmek, anlatmak","Saatlerce dert yandı, başım şişti.",Dert yanan kişi,pag,Dert yanılan kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0669680,savunmak,"Bir kişiyi desteklemek, ona arka çıkmak",,destek çıkan kişi,pag,destek çıktığı kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0587290,omuzlamak,Destek vermek,Adam olanı bir defa omuzlamak yeter.,destek veren kişi,pag,destek verdiği şey,dir,acc,destek verdiği konu,loc,loc,,,,,,,,,,,,,,,,,,,,,
TUR10-0614030,paralanmak,"Sıkıntı ve üzüntü içinde, olmayacak bir işle uğraşmak; didinmek",,didinen kişi,pag,didindiği şey,dir,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0205330,dilemek,Biri için bir dilekte bulunmak,Karadakiler her lisandan hayırlı yolculuklar dilediler.,dilekte bulunan kişi,pag,dilekte bulunulan kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0205790,dillendirmek,Biri hakkında dedikodu yapılmasına sebep olmak,Kızı da dillendirdik bugün.,dillendiren kişi,pag,dillendirilen kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0207850,dipçiklemek,Dipçikle vurmak,,dipçikle vuran kişi,pag,"dipçikle vurulan kişi, şey",dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0208450,diremek,"Bir şeyi dikine koymak, dayamak, durdurmak",,direyen kişi,pag,"direnen şey, kişi",dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0765980,tepinmek,"Bir şeyi istememek, diretmek, kabul etmemek",,direten kişi,pag,direttiği şey,dir,loc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0212360,dizlemek,Dizini kullanarak bastırmak,,dizlerini kullanan kişi,pag,"dizle bastırılan şey, kişi",dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0616080,parmaklamak,Parmakla dokunmak,,dokunan kişi,pag,dokunduğu şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0690260,sıyırmak,Hafifçe dokunarak geçmek,Kurşun başını sıyırıp geçti.,dokunup geçen şey,pag,dokunup geçtiği şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0594910,oturmak,Belli bir yörüngede dönmeye başlamak,Uydu yörüngeye oturdu.,dönmeye başlayan şey,pag,dönmeye başladığı yörünge,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0161860,çevrilmek,"Kendini çevirmek, birine dönmek",Nerde güzel görsen ona çevrilme / Bizim ilde cana kıyar beyler var,dönen kişi,pag,dönülen kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0219580,doymak,Bir gereksinimini yeteri kadar karşılamak,Toprak suya doydu.,doyan şey,pag,doyulan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0219680,doyulmak,Doymak,,doyulan kişi,pag,doyulduğu şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0219910,doyurmak,Para yedirmek,Babasının paralarıyla kızları doyurdu.,doyuran kişi,pag,doyurulan kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0118000,bozmak,Aklını yitirecek derecede bir şeye düşkün olmak,Adamcağız politika ile bozmuş.,düşkün olan kişi,pag,düşkün olunan şey,dir,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0838790,yasamak,Düzen vermek,Bu yıllarda devleti onlar yasadı.,Düzen veren kişi,pag,Düzen verilen şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0236340,eğilmek,"Başkasının baskısını veya egemenliğini benimsemek, kabul etmek",Türk eğilmez.,eğilen kişi,pag,egemenliği kabul edilen kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0865030,yüklemek,Bir cisme elektrik gücü vermek,,elektrik veren kişi,pag,elektrik verdiği şey,dir,dat/acc,elektrik verilen araç,com,ins,,,,,,,,,,,,,,,,,,,,,
TUR10-0241820,elektriklemek,"Üzerinde elektrik gücü bulunmayan bir iletkene, elektrikli başka bir iletkeni yaklaştırmak veya değdirmek yoluyla elektrik gücü vermek",,elektrik veren kişi,pag,elektrik verilen iletken,dir,acc,elektriklemede kullanılan iletken,src,ins,,,,,,,,,,,,,,,,,,,,,
TUR10-0244000,ellenmek,Bir şeye elle dokunulmak,,elleyen kişi,pag,ellenen şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0595290,ovalamak,Ellerini bir şeye veya birbirine sürtmek,"Kocası okurken gözleriyle satırları takip ediyor, elleriyle boncuk çantasını ovalıyordu.",ellerini sürten kişi,pag,ellerini sürttüğü şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0072950,bakmak,Bir şeyin gelişmesi veya iyi bir durumda kalması için emek vermek,Çiçeklerime gözüm gibi bakıyorum.,emek veren kişi,pag,emek verilen şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0879690,çekmek,Herhangi bir engel kurmak,"Derenin kış yaz kurumayan suları böğürtlen fidanlarını yükseltmiş, iki tarafa yemiş dolu bir koyu çit çekmiş.",engel kuran kişi,pag,engel kurduğu yer,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0100190,bırakmak,Engel olmamak,"Bırak, burasını benim defterimden okuyayım.",engel olmayan kişi,pag,engel olunmayan şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0251760,ermek,"Erişmek, kavuşmak",,erişen kişi,pag,"erişilen kişi, şey, yer, zaman",dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-1242520,etmek,"Bulmak, erişmek","Hemşerileri gelir, kemençe gibi bir çalgıyla sabahı ederlerdi.",erişen kişi,pag,erişilen şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0880640,çıkmak,Erişmek; görmek,Aklı başında ama sabaha çıkamayacağına kalıbımı basarım.,erişen kişi,pag,eriştiği şey,dir,dat,eriştiği zaman ,tmp,,eriştiği yer,loc,,,,,,,,,,,,,,,,,,,
TUR10-0290650,gelmek,Biriyle birlikte gitmek,"Ben İstanbul'a gidiyorum, benimle gelir misiniz?",eşlik eden kişi,pag,eşlik edilen kişi,dir,ins,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0290550,gelmek,Etkisini herhangi bir biçimde göstermek,Buranın havası iyi geldi. Burası bana çok sıcak geldi.,etkisini gösteren şey,pag,etkilenen kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0790010,tutmak,"Beddua, dua, ah vb. etkisini göstermek, gerçekleşmek, yerine gelmek, varmak",,etkisi tutan şey,pag,etkisini gösterdiği şey,dir,loc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0858200,yoklamak,Ara sıra etkisini göstermek,İlaç aldığım hâlde ağrılarım yine beni yokluyor.,etkisini gösteren şey,pag,etkisini gösterdiği şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
